acc_x,speed_x_km,time,acc_y,speed_y_km,speed
2.129252,-24.0833,34,-3.494373,-30.4509,39
2.3416462,-15.6534,35,-2.9855623,-41.1989,44
2.0767155,-15.6534,35,0.17628181,-41.1989,44
0.06365883,-15.4242,36,-1.3254306,-45.9705,48
-1.6395073,-15.4242,36,0.22371605,-45.9705,48
1.535208,-9.8975,37,4.058062,-31.3614,33
0.4467299,-8.2892,38,-0.33523434,-32.5683,34
0.22797513,-8.2892,38,-0.39392185,-32.5683,34
-0.049170017,-8.4663,39,-0.5741543,-34.6352,36
0.35753214,-8.4663,39,-2.124141,-34.6352,36
0.68341494,-6.0060,40,-1.6282524,-40.4969,41
-0.7427925,-6.0060,40,-0.11127058,-40.4969,41
-1.5538123,-11.5997,41,0.056998193,-40.2918,42
-2.7992036,-11.5997,41,-0.6846703,-40.2918,42
-3.168629,-23.0068,42,-0.3113255,-41.4125,47
-2.1692958,-23.0068,42,-0.11663723,-41.4125,47
-2.1210093,-30.6424,43,0.29532993,-40.3493,51
0.14335412,-30.6424,43,0.029583544,-40.3493,51
1.0625885,-26.8171,44,-0.89369357,-43.5666,51
2.3298612,-18.4296,45,-0.3129476,-44.6932,48
3.7126846,-18.4296,45,-0.52176225,-44.6932,48
3.1058762,-7.2484,46,-0.028666437,-44.7964,45
1.9459128,-7.2484,46,-0.6871075,-44.7964,45
1.8580182,-0.5595,47,-0.51278764,-46.6425,47
2.8162384,-0.5595,47,0.242767,-46.6425,47
2.1700854,7.2528,48,1.0297749,-42.9353,44
4.157132,7.2528,48,1.5080249,-42.9353,44
3.552785,20.0428,49,-0.82469946,-45.9042,50
1.897265,20.0428,49,1.0829179,-45.9042,50
-1.5290136,14.5383,50,1.0389088,-42.1641,45
-0.37024605,13.2055,51,0.41366655,-40.6749,43
-0.6937938,13.2055,51,-1.4096346,-40.6749,43
-0.51066995,11.3670,52,-0.85383266,-43.7487,45
0.29948235,11.3670,52,-0.84446543,-43.7487,45
-2.8704789,1.0333,53,-0.55867314,-45.7600,46
-0.37338135,1.0333,53,0.2580794,-45.7600,46
-1.0805393,-2.8566,54,-0.65024686,-48.1008,48
-0.6778293,-2.8566,54,-3.7300625,-48.1008,48
-0.25476688,-3.7738,55,-1.8989587,-54.9371,55
-1.5332382,-3.7738,55,-2.3707972,-54.9371,55
0.14853239,-3.2391,56,-1.2849126,-59.5628,60
0.8031792,-3.2391,56,1.449213,-59.5628,60
-0.40862173,-4.7101,57,1.7014275,-53.4376,54
-1.0405432,-8.4561,58,0.3540479,-52.1631,53
0.8103225,-8.4561,58,1.1014452,-52.1631,53
0.34126294,-7.2275,59,0.05971235,-51.9481,52
0.35698867,-7.2275,59,-0.008573189,-51.9481,52
-0.11699581,-7.6487,60,-0.86732984,-55.0705,56
-0.93830514,-7.6487,60,-1.1339355,-55.0705,56
