acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label
-1.5332382,-3.7738,55,-2.3707972,-54.9371,55,1
0.14853239,-3.2391,56,-1.2849126,-59.5628,60,1
0.8031792,-3.2391,56,1.449213,-59.5628,60,1
-0.40862173,-4.7101,57,1.7014275,-53.4376,54,1
-1.0405432,-8.4561,58,0.3540479,-52.1631,53,1
0.8103225,-8.4561,58,1.1014452,-52.1631,53,1
0.34126294,-7.2275,59,0.05971235,-51.9481,52,1
0.35698867,-7.2275,59,-0.008573189,-51.9481,52,1
-0.11699581,-7.6487,60,-0.86732984,-55.0705,56,1
-0.93830514,-7.6487,60,-1.1339355,-55.0705,56,1
-0.13946629,-8.1508,61,-0.17544878,-55.7021,56,1
0.53304935,-8.1508,61,-1.0302153,-55.7021,56,1
0.2713225,-7.1740,62,-2.100177,-63.2627,64,1
1.8799226,-7.1740,62,-0.5767874,-63.2627,64,1
-1.5916799,-12.9041,63,1.1016989,-59.2966,61,1
1.517488,-12.9041,63,1.1316099,-59.2966,61,1
-0.035986423,-13.0336,64,0.5330645,-57.3776,59,1
1.4412134,-7.8453,65,0.37190998,-56.0387,57,1
2.3300555,-7.8453,65,0.3434502,-56.0387,57,1
1.7155428,-1.6693,66,0.55796635,-54.0300,54,1
-1.4935509,-1.6693,66,-0.20946038,-54.0300,54,1
-0.071065664,-1.9251,67,0.059405506,-53.8162,54,1
-0.7114564,-1.9251,67,-1.5197556,-53.8162,54,1
-0.04023862,-2.0700,68,-0.8266994,-56.7923,57,1
-1.3797278,-2.0700,68,-0.75483006,-56.7923,57,1
0.07877898,-1.7864,69,-4.6997952,-73.7116,74,1
-1.182549,-1.7864,69,-3.7053783,-73.7116,74,1
0.2084353,-1.0360,70,-1.2599003,-78.2472,78,1
-1.2637064,-1.0360,70,-2.6159873,-78.2472,78,1
-0.0868597,-1.3487,71,-0.021889508,-78.3260,78,1
-0.9859482,-4.8981,72,0.24473265,-77.4450,78,1
-1.1734124,-4.8981,72,-0.772667,-77.4450,78,1
-1.3149033,-9.6318,73,2.2784572,-69.2425,70,1
-1.628464,-9.6318,73,1.0364846,-69.2425,70,1
-0.38850576,-11.0304,74,-0.36773205,-70.5664,71,1
-0.89852214,-11.0304,74,-0.98570687,-70.5664,71,1
-0.59843284,-13.1848,75,-0.28149295,-71.5797,73,1
1.701804,-13.1848,75,-0.9979348,-71.5797,73,1
1.1648561,-8.9913,76,-0.24575579,-72.4645,73,1
1.3077285,-8.9913,76,-1.8989956,-72.4645,73,1
0.86962986,-5.8606,77,-0.41113913,-73.9446,74,1
-2.4770627,-14.7780,78,-1.3533103,-78.8165,80,1
-0.7665665,-14.7780,78,-2.372037,-78.8165,80,1
0.5450225,-12.8160,79,-2.2015684,-86.7421,88,1
-0.22052419,-12.8160,79,-0.2243824,-86.7421,88,1
0.28510702,-11.7896,80,-0.032849908,-86.8604,88,1
-0.36477995,-11.7896,80,-0.75263965,-86.8604,88,1
-0.26799905,-12.7544,81,-0.71892405,-89.4485,90,1
0.79800427,-12.7544,81,-2.897769,-89.4485,90,1
0.76148415,-10.0130,82,-3.2722623,-101.2286,102,1
0.7784623,-10.0130,82,-1.9260757,-101.2286,102,1
-0.4103278,-11.4902,83,-1.5791084,-106.9134,108,1
-2.2513096,-11.4902,83,-0.78063375,-106.9134,108,1
0.14630604,-10.9635,84,0.72609425,-104.2995,105,1
-1.0709188,-14.8188,85,-0.29719815,-105.3694,106,1
0.20485091,-14.8188,85,-1.1254336,-105.3694,106,1
-1.5810894,-20.5107,86,-0.6375134,-107.6645,110,1
-2.230279,-20.5107,86,-0.8359734,-107.6645,110,1
-2.792801,-30.5648,87,-0.27316356,-108.6479,113,1
0.011655569,-30.5648,87,-0.15809092,-108.6479,113,1
0.62809736,-28.3037,88,0.44010204,-107.0635,111,1
0.3214538,-28.3037,88,0.051660016,-107.0635,111,1
0.83610725,-25.2937,89,-2.0364637,-114.3948,117,1
2.0276046,-25.2937,89,0.20543319,-114.3948,117,1
1.2021904,-20.9658,90,-0.49996188,-116.1946,118,1
0.6141052,-20.9658,90,0.8150452,-116.1946,118,1
-1.6206673,-26.8002,91,-0.044861384,-116.3561,119,1
0.41583645,-25.3032,92,-0.52546084,-118.2478,121,1
1.3468143,-25.3032,92,-0.24551699,-118.2478,121,1
1.3831241,-20.3239,93,0.030001879,-118.1398,120,1
1.5081501,-20.3239,93,-0.7283976,-118.1398,120,1
2.4656324,-11.4477,94,1.1205983,-114.1056,115,1
2.9211383,-11.4477,94,1.4489026,-114.1056,115,1
-0.22984242,-12.2751,95,-0.24654001,-114.9932,116,1
-0.44739318,-12.2751,95,-0.15190879,-114.9932,116,1
-0.56222916,-14.2991,96,-0.65438116,-117.3489,118,1
0.4115641,-14.2991,96,0.042383313,-117.3489,118,1
0.46595332,-12.6217,97,-0.095154345,-117.6915,118,1
-0.6504388,-12.6217,97,0.4122701,-117.6915,118,1
0.27608275,-11.6278,98,0.9717251,-114.1933,115,1
0.033694804,-11.5065,99,-0.31645733,-115.3325,116,1
-0.47366485,-11.5065,99,-1.249366,-115.3325,116,1
-0.8804009,-14.6759,100,-2.8645391,-125.6449,126,1
0.70215744,-14.6759,100,-0.95216656,-125.6449,126,1
0.43999004,-13.0920,101,-1.0625124,-129.4699,130,1
1.0945218,-13.0920,101,1.8745843,-129.4699,130,1
0.8049816,-10.1940,102,1.7169311,-123.2890,124,1
0.9089587,-10.1940,102,0.055555254,-123.2890,124,1
1.4945823,-4.8135,103,-0.39365062,-124.7061,125,1
1.0354649,-4.8135,103,0.9542857,-124.7061,125,1
0.7366115,-2.1617,104,0.21815073,-123.9208,124,1
-0.8681025,-5.2869,105,-0.5753273,-125.9919,126,1
0.28724444,-5.2869,105,-0.7521808,-125.9919,126,1
-0.017083287,-5.3484,106,-0.9111153,-129.2719,129,1
-0.26180148,-5.3484,106,1.0792468,-129.2719,129,1
0.10718858,-4.9625,107,0.22550416,-128.4601,129,1
0.26969326,-4.9625,107,0.25649464,-128.4601,129,1
-1.0493588,-8.7402,108,-0.057889342,-128.6685,129,1
1.166327,-8.7402,108,0.41719687,-128.6685,129,1
0.4214766,-7.2229,109,0.006705582,-128.6444,129,1
0.74109757,-7.2229,109,-0.68803275,-128.6444,129,1
0.003059864,-7.2119,110,-0.15773511,-129.2122,129,1
0.11086357,-7.2119,110,0.13982368,-129.2122,129,1
-1.4066336,-12.2758,111,-0.8859638,-132.4017,133,1
-0.45237327,-13.9043,112,-0.23169965,-133.2358,134,1
0.42708433,-13.9043,112,-1.1626518,-133.2358,134,1
0.02377677,-13.8187,113,-1.017384,-136.8984,138,1
0.35229635,-13.8187,113,0.16817701,-136.8984,138,1
-0.5021113,-15.6263,114,-0.59638023,-139.0454,140,1
0.86293936,-15.6263,114,1.1610756,-139.0454,140,1
0.65656686,-13.2627,115,3.1134374,-127.8370,129,1
0.7382579,-13.2627,115,2.7755985,-127.8370,129,1
0.94025826,-9.8777,116,2.6351173,-118.3506,119,1
0.29781747,-9.8777,116,0.9250912,-118.3506,119,1
-0.06891489,-10.1258,117,-0.19098556,-119.0381,119,1
-0.5749512,-10.1258,117,0.52007544,-119.0381,119,1
-1.5283318,-15.6278,118,0.120087385,-118.6058,120,1
-0.016088963,-15.6858,119,0.5220692,-116.7264,118,1
-0.2522025,-15.6858,119,0.39406157,-116.7264,118,1
-0.87330306,-18.8296,120,0.8280182,-113.7455,115,1
0.41100574,-18.8296,120,0.465259,-113.7455,115,1
-0.835463,-21.8373,121,0.06466508,-113.5127,116,1
0.12690246,-21.8373,121,0.62205625,-113.5127,116,1
-0.34778166,-23.0893,122,1.2425287,-109.0396,111,1
-0.8357254,-23.0893,122,-0.24015647,-109.0396,111,1
1.3981141,-18.0561,123,0.96779203,-105.5556,107,1
-0.06099105,-18.0561,123,0.59770936,-105.5556,107,1
0.6327003,-15.7784,124,-0.9582927,-109.0054,110,1
0.14780664,-15.7784,124,-0.8298882,-109.0054,110,1
0.21284509,-15.0121,125,-0.8082768,-111.9152,113,1
-1.2131345,-19.3794,126,-1.3872218,-116.9092,119,1
-0.43668008,-19.3794,126,-1.9583706,-116.9092,119,1
1.0459647,-15.6140,127,-0.1511172,-117.4532,118,1
0.34868884,-15.6140,127,-0.32196426,-117.4532,118,1
-0.12926054,-16.0793,128,0.39406145,-116.0346,117,1
0.58610845,-16.0793,128,-0.19526601,-116.0346,117,1
0.28875208,-15.0398,129,-0.77923656,-118.8399,120,1
-0.13758135,-15.0398,129,-0.010386229,-118.8399,120,1
-0.5673474,-17.0822,130,0.6228787,-116.5975,118,1
-0.019729376,-17.0822,130,2.523957,-116.5975,118,1
0.10356188,-16.7094,131,3.0101929,-105.7608,107,1
0.83599305,-13.6998,132,3.3893647,-93.5591,95,1
-1.1225808,-13.6998,132,1.6156934,-93.5591,95,1
-0.84406805,-16.7385,133,0.52169704,-91.6810,93,1
0.60480094,-16.7385,133,-1.1678542,-91.6810,93,1
-0.12164903,-17.1764,134,-0.093634486,-92.0181,94,1
-0.61973596,-17.1764,134,-0.67779946,-92.0181,94,1
-0.7849238,-20.0022,135,0.12131238,-91.5813,94,1
-0.19219148,-20.0022,135,-0.86224484,-91.5813,94,1
-0.84101474,-23.0298,136,-0.54194593,-93.5323,96,1
0.3863448,-23.0298,136,2.0474577,-93.5323,96,1
-0.057249904,-23.2359,137,2.5879822,-84.2156,87,1
0.83209145,-23.2359,137,2.6425023,-84.2156,87,1
-1.6843994,-29.2997,138,1.875776,-77.4628,83,1
0.62552464,-27.0479,139,1.1231205,-73.4196,78,1
-0.9642315,-27.0479,139,0.15897477,-73.4196,78,1
0.44084823,-25.4608,140,2.0926218,-65.8861,71,1
-0.7102841,-25.4608,140,1.8605233,-65.8861,71,1
