AccX,AccY,AccZ,Class,Timestamp,brake
-1.5404446,-0.24243787,0.9758606,SLOW,3583091,0
0.6029782,-0.7383678,-0.6120148,SLOW,3583091,0
-0.21226144,0.34608382,0.46927452,SLOW,3583092,0
0.054176807,0.24709699,0.70066833,SLOW,3583092,0
0.7310884,-0.00026040524,1.120636,SLOW,3583093,0
-0.31716812,-1.3101573,0.24253082,SLOW,3583093,0
1.2333542,-0.8705343,1.7522421,SLOW,3583094,0
0.34419203,-1.3026417,-1.827805,SLOW,3583094,0
0.13316143,-0.4817303,1.3502932,SLOW,3583095,0
1.2236425,0.64939374,2.1429033,SLOW,3583095,0
-0.17280853,0.07121135,1.4936562,SLOW,3583096,0
1.9665277,-0.035237253,-0.92091274,SLOW,3583097,0
-0.5599705,-1.9758568,-0.4612007,SLOW,3583097,0
0.9986675,-2.497491,-0.705122,SLOW,3583098,0
0.7289984,2.0124066,1.8940277,SLOW,3583098,0
-1.8875022,-0.82485175,-0.58902645,SLOW,3583099,0
-2.1989102,-0.2721754,-0.946496,SLOW,3583099,1
-1.9458233,0.061725587,0.16400623,SLOW,3583100,1
-1.9967294,-0.4975109,-0.57637596,SLOW,3583100,0
-0.41130996,-0.29552412,1.0970831,SLOW,3583101,0
-0.13301528,0.03472703,-0.38325405,SLOW,3583101,0
-0.2335093,-1.0180663,-0.094584465,SLOW,3583102,0
0.44369137,-0.6349845,0.0828495,SLOW,3583102,0
0.6791347,-0.5528246,0.88781166,SLOW,3583103,0
2.1792064,-0.49521732,-0.07311916,SLOW,3583104,0
2.4706373,-0.2884444,-0.29010105,SLOW,3583104,0
1.9545815,0.22944194,0.05307007,SLOW,3583105,0
1.8342481,0.4988265,-1.0039606,SLOW,3583105,0
1.7757758,-0.9420456,-0.34724617,SLOW,3583106,0
1.5827452,0.52766186,-0.77645874,SLOW,3583106,0
1.7709715,0.3056621,-1.3618011,SLOW,3583107,0
1.5350492,0.9764863,-2.693324,SLOW,3583107,0
2.8904603,0.70541966,-1.2799406,SLOW,3583108,0
0.5420265,-0.33432597,-1.0449142,SLOW,3583108,0
0.73304987,0.977846,0.63739395,SLOW,3583109,0
1.633286,0.9366057,1.0435743,SLOW,3583110,0
1.7504318,-0.24261814,-0.049036026,SLOW,3583110,0
0.031262398,0.2696604,-0.15206337,SLOW,3583111,0
-0.87824535,0.2371676,0.5521097,SLOW,3583111,0
-0.7825916,-0.11101964,-0.043310165,SLOW,3583112,0
0.09025097,0.23869923,-1.5391932,SLOW,3583112,0
-0.06705165,-1.1957276,0.5401001,SLOW,3583113,0
0.10699499,-1.3701775,0.313859,SLOW,3583113,0
-0.050100207,0.23073912,1.2387562,SLOW,3583114,0
0.69162524,0.00030434132,0.33856392,SLOW,3583114,0
-1.1850674,-0.49542361,-1.4989729,SLOW,3583115,0
-1.7941808,0.35657814,-1.4853106,SLOW,3583115,0
-0.30816346,-0.81842583,-0.18153095,SLOW,3583116,0
1.0097216,-0.86522824,-0.5827179,SLOW,3583117,0
-0.3617869,-0.3670845,0.6612091,SLOW,3583117,0
-0.14408432,-0.08039987,-0.9212465,SLOW,3583118,0
0.41968927,0.06310314,1.3457775,SLOW,3583118,0
0.10169977,-0.37690288,0.32783508,SLOW,3583119,0
-0.42045707,-0.07880074,-0.12791157,SLOW,3583119,0
0.23323494,-0.7768992,1.4339714,SLOW,3583120,0
0.34880102,0.93770826,0.063607216,SLOW,3583120,0
-0.7071021,-0.7254167,0.5718317,SLOW,3583121,0
0.21837962,-0.16833115,-0.19325733,SLOW,3583121,0
-0.26887715,0.5293205,-0.3654766,SLOW,3583122,0
0.93542886,-0.6397667,0.69941425,SLOW,3583122,0
