AccX,AccY,AccZ,Class,Timestamp,brake
-1.0982004,-2.3038049,-0.6724844,SLOW,3583726,0
-0.99540305,-0.49323317,2.1087866,SLOW,3583726,0
-1.8114909,0.6299272,1.2168283,SLOW,3583727,0
-1.0639253,0.91664135,0.6235056,SLOW,3583727,0
-0.16849875,-0.31293076,0.81051445,SLOW,3583728,0
-0.91020346,-0.525962,2.0258179,SLOW,3583728,0
-0.34674263,1.4348986,0.880064,SLOW,3583729,0
-0.7198417,1.5953244,0.79309464,SLOW,3583729,0
-1.1761088,-0.31856924,-0.17132473,SLOW,3583730,0
-0.53840816,2.030721,0.8542223,SLOW,3583730,0
-1.1669043,-0.8626312,0.10337925,SLOW,3583731,0
-0.5034112,0.29883406,-0.47459602,SLOW,3583732,0
0.85288954,0.6546539,-0.16321373,SLOW,3583732,0
-0.15467882,-0.26545173,-1.2019444,SLOW,3583733,0
-0.60901856,-0.12754649,-0.5341139,SLOW,3583733,0
-1.8492806,-0.6965517,0.012162209,SLOW,3583734,0
-1.1744285,0.04910183,0.954031,SLOW,3583734,0
-0.4252895,1.269599,1.7697401,SLOW,3583735,0
0.68240166,-0.3200142,0.76388645,SLOW,3583735,0
0.06691718,-0.79523325,0.046351433,SLOW,3583736,0
1.9234607,0.7327153,-0.28091526,SLOW,3583736,0
0.9212911,0.21230142,0.06956959,SLOW,3583737,0
2.2529454,-0.23421499,-1.3434515,SLOW,3583737,0
2.044987,0.62685335,0.36093807,SLOW,3583738,0
2.0983696,-0.457588,0.31456375,SLOW,3583739,0
1.4356093,1.2358838,-0.6838808,SLOW,3583739,0
0.96589303,-0.43110767,-0.18885994,SLOW,3583740,0
1.7831228,0.191511,-0.42735386,SLOW,3583740,0
-0.2341901,-0.6840519,0.32564163,SLOW,3583741,0
0.25323582,0.29588768,0.14115906,SLOW,3583741,0
-1.0068419,0.14564809,0.662735,SLOW,3583742,0
0.027005553,0.6553015,0.46525478,SLOW,3583742,0
-1.026499,1.7045708,-0.83235455,SLOW,3583743,0
0.037662625,-1.0135206,0.6346264,SLOW,3583743,0
-0.051713467,0.60572684,-0.80315495,SLOW,3583744,0
0.15288877,-0.28587577,-0.17908955,SLOW,3583745,0
0.48378277,-0.031100094,0.7287216,SLOW,3583745,0
0.4616971,0.12688145,-1.5707979,SLOW,3583746,0
0.60238063,-0.569432,-0.5248041,SLOW,3583746,0
0.6184169,-0.7936318,0.15233135,SLOW,3583747,0
0.6115031,-0.76446575,-1.069272,SLOW,3583747,0
-0.86633915,-1.5363522,-0.11373711,SLOW,3583748,0
0.8365706,-0.03265071,-0.5266323,SLOW,3583748,0
-0.38116848,-0.3967886,-0.040595055,SLOW,3583749,0
0.64764714,-0.9129914,-0.97370815,SLOW,3583749,0
0.3304453,-0.36292803,0.27668,SLOW,3583750,0
2.0446403,0.7013926,0.6895008,SLOW,3583750,0
1.3347769,0.001606226,-1.0879507,SLOW,3583751,0
1.1067688,1.8392589,0.6612263,SLOW,3583752,0
-0.2566216,-0.4697702,-0.6152706,SLOW,3583752,0
1.0198791,-0.4374839,-0.6522083,SLOW,3583753,0
0.95396066,-0.7995802,-0.21395016,SLOW,3583753,0
1.5484638,1.2894704,-0.34078598,SLOW,3583754,0
-0.9690069,0.15943676,-0.39686203,SLOW,3583754,0
-0.7096946,0.14615977,-0.45091534,SLOW,3583755,0
-1.1484358,-0.25819048,0.28764343,SLOW,3583755,0
-0.57315636,0.06494338,-0.05219364,SLOW,3583756,0
-0.20736909,0.8896328,0.20367432,SLOW,3583756,0
-0.47305775,-0.2005531,-0.3378477,SLOW,3583757,0
-0.043811083,0.43101987,0.309906,SLOW,3583757,0
