AccX,AccY,AccZ,Class,Timestamp,brake
-0.2375791,-0.21157464,1.8272476,AGGRESSIVE,3582851,0
1.2511308,0.9293662,-1.00315,AGGRESSIVE,3582852,0
0.46938324,0.10619688,0.11618996,AGGRESSIVE,3582852,0
0.32049668,-0.15456404,-0.5508537,AGGRESSIVE,3582853,0
-1.8978025,-1.395599,-0.09238815,AGGRESSIVE,3582853,0
-2.20782,-1.0086577,-0.20963478,AGGRESSIVE,3582854,1
-0.933916,-0.36700815,-0.5525408,AGGRESSIVE,3582854,1
-2.7521358,-2.012026,1.8174334,AGGRESSIVE,3582855,1
-2.7583175,-0.2305252,-0.066786766,AGGRESSIVE,3582856,1
1.3888127,0.3461228,-0.5008154,AGGRESSIVE,3582856,1
0.7555499,1.3027406,-0.011911392,AGGRESSIVE,3582857,0
2.5727735,0.6496758,-0.192482,AGGRESSIVE,3582857,0
1.9132606,1.5773495,-1.998631,AGGRESSIVE,3582858,0
2.255182,0.8008219,0.8879757,AGGRESSIVE,3582858,0
1.7591152,0.64949703,0.21692848,AGGRESSIVE,3582859,0
1.7146299,-0.07048404,-1.1593695,AGGRESSIVE,3582859,0
2.7014437,0.6746115,-1.9690061,AGGRESSIVE,3582860,0
2.7542827,-0.49862528,-0.5243645,AGGRESSIVE,3582860,0
2.1487806,-0.24191216,-0.05604267,AGGRESSIVE,3582861,0
1.2379395,-1.5226916,1.7790298,AGGRESSIVE,3582861,0
-0.115952134,-0.727381,1.0204668,AGGRESSIVE,3582862,0
0.6671703,-1.003375,0.5493889,AGGRESSIVE,3582863,0
0.71597457,-1.4488246,0.062253,AGGRESSIVE,3582863,0
0.29375672,0.24488717,-0.40240955,AGGRESSIVE,3582864,0
1.4106803,-0.04905939,0.88347626,AGGRESSIVE,3582864,0
0.82087827,-1.0969629,-2.6775298,AGGRESSIVE,3582865,0
2.2368212,-0.32884288,0.7535877,AGGRESSIVE,3582865,0
0.90882254,1.2573724,2.5369701,AGGRESSIVE,3582866,0
1.7647362,-0.1718016,-0.2857418,AGGRESSIVE,3582866,0
0.9329817,-0.47921562,0.4913044,AGGRESSIVE,3582867,0
1.2742314,0.24052432,1.421915,AGGRESSIVE,3582867,0
1.0390389,0.25513923,-0.75529385,AGGRESSIVE,3582868,0
-0.15988946,-0.16487893,-0.46307468,AGGRESSIVE,3582868,0
-1.727001,0.0017698705,-0.7782955,AGGRESSIVE,3582869,0
-1.6286794,0.20493037,-0.20401669,AGGRESSIVE,3582870,0
-1.74348,-0.4105602,-0.46608353,AGGRESSIVE,3582870,0
-2.2308195,-1.0377297,0.24950504,AGGRESSIVE,3582871,1
-2.199397,-0.3111152,-1.1554155,AGGRESSIVE,3582871,1
-0.72953653,0.9243355,0.9560032,AGGRESSIVE,3582872,1
-0.7477169,0.9032178,-2.2446556,AGGRESSIVE,3582872,0
-0.60673285,-0.22670078,-1.4001484,AGGRESSIVE,3582873,0
0.759274,-0.068264365,-1.5097799,AGGRESSIVE,3582873,0
1.4806212,-0.18274635,2.3970118,AGGRESSIVE,3582874,0
1.0978867,-0.3233127,1.8656712,AGGRESSIVE,3582874,0
2.202037,-0.16860965,0.88140583,AGGRESSIVE,3582875,0
2.224247,1.2479644,-1.3765974,AGGRESSIVE,3582876,0
1.4574728,1.9655557,-0.6373291,AGGRESSIVE,3582876,0
1.7099202,0.5427729,-0.9040632,AGGRESSIVE,3582877,0
3.4493208,1.4238354,0.08894825,AGGRESSIVE,3582877,0
0.3197143,0.6207337,-0.35081577,AGGRESSIVE,3582878,0
-0.367476,-1.9789062,1.4526281,AGGRESSIVE,3582878,0
-0.3479824,-0.3816329,-0.686553,AGGRESSIVE,3582879,0
-1.7476909,-0.8229231,1.5282602,AGGRESSIVE,3582879,0
-0.36769676,-0.7709846,-0.22881317,AGGRESSIVE,3582880,0
-0.14828277,-0.28935236,0.9191227,AGGRESSIVE,3582880,0
0.76650786,2.088137,-2.7055483,AGGRESSIVE,3582881,0
-0.8549504,-0.28321952,2.5493174,AGGRESSIVE,3582881,0
-0.16227889,1.0055676,-1.1947708,AGGRESSIVE,3582882,0
-1.1483706,-0.15832359,-0.094558716,AGGRESSIVE,3582883,0
0.8676617,0.5482436,-0.8859587,AGGRESSIVE,3582883,0
