AccX,AccY,AccZ,Class,Timestamp,brake
-0.4204346,-0.95638794,1.0311337,AGGRESSIVE,3582786,0
0.65499306,0.38857633,-1.2326488,AGGRESSIVE,3582787,0
0.03318715,0.76446,-1.6929021,AGGRESSIVE,3582787,0
1.9984956,-0.17513865,0.24891186,AGGRESSIVE,3582788,0
-0.20861888,-1.2249291,1.4171877,AGGRESSIVE,3582789,0
-0.24356604,0.29847386,0.12649918,AGGRESSIVE,3582789,0
-0.585853,0.05427289,0.37552834,AGGRESSIVE,3582790,0
0.652282,-0.2125786,1.4256,AGGRESSIVE,3582790,0
0.14226818,1.0021126,-1.4308615,AGGRESSIVE,3582791,0
-0.9308388,0.5921551,0.3798561,AGGRESSIVE,3582791,0
-0.8678713,-0.24762678,0.8336935,AGGRESSIVE,3582792,0
-1.7274083,-0.79425997,0.9620924,AGGRESSIVE,3582792,0
1.9665015,0.82337326,-0.108519554,AGGRESSIVE,3582793,0
-1.6141467,-1.2695413,1.3833828,AGGRESSIVE,3582793,0
0.27211237,-0.12815297,-0.7784538,AGGRESSIVE,3582794,0
0.48509192,0.41629076,-1.084405,AGGRESSIVE,3582795,0
2.2187788,-0.092197,1.389267,AGGRESSIVE,3582795,0
0.66911983,-0.125314,-0.3812132,AGGRESSIVE,3582796,0
0.98893857,-0.4870469,-1.0913162,AGGRESSIVE,3582796,0
0.48091125,-0.24232435,-0.9560299,AGGRESSIVE,3582797,0
0.58143616,0.0057145357,-0.4112625,AGGRESSIVE,3582797,0
-0.08353114,-0.29227006,0.51124096,AGGRESSIVE,3582798,0
0.5718529,0.44821584,0.52609444,AGGRESSIVE,3582798,0
1.7575297,-0.5437561,-0.7320757,AGGRESSIVE,3582799,0
0.63505435,-0.74285996,-1.3462696,AGGRESSIVE,3582799,0
-0.04831481,-1.029788,0.20301342,AGGRESSIVE,3582800,0
0.53895664,0.100798726,0.90663815,AGGRESSIVE,3582800,0
-0.0055072308,-1.0174608,0.8578186,AGGRESSIVE,3582801,0
-1.1523578,-2.3205652,0.73466873,AGGRESSIVE,3582802,0
-0.3232479,0.44828868,1.0558805,AGGRESSIVE,3582802,0
0.6822312,-0.19784117,-0.5585995,AGGRESSIVE,3582803,0
-0.83721626,-0.80351686,1.371685,AGGRESSIVE,3582803,0
0.042553663,-2.5046191,-1.6504335,AGGRESSIVE,3582804,0
0.067864895,-0.53512496,0.08336067,AGGRESSIVE,3582804,0
0.33084846,-0.3984756,-0.11409855,AGGRESSIVE,3582805,0
-0.9333348,-1.6972084,0.5323696,AGGRESSIVE,3582805,0
0.6903701,-0.6915947,0.36403656,AGGRESSIVE,3582806,0
-0.14436436,0.25201362,0.8339491,AGGRESSIVE,3582806,0
-0.7302109,0.5163032,0.6629114,AGGRESSIVE,3582807,0
-0.38394666,1.4584436,0.80206394,AGGRESSIVE,3582807,0
-0.3429079,1.8922161,1.1472254,AGGRESSIVE,3582808,0
-1.3062521,1.8950796,0.62055874,AGGRESSIVE,3582809,0
-0.7376108,2.2796915,0.47475147,AGGRESSIVE,3582809,0
-0.36742902,1.4672073,0.63437366,AGGRESSIVE,3582810,0
0.66375923,2.3156612,0.38953876,AGGRESSIVE,3582810,0
0.9926939,2.4436073,-0.97909546,AGGRESSIVE,3582811,0
0.12906146,1.7394463,-0.04440689,AGGRESSIVE,3582811,0
0.42285013,-0.960956,0.9775591,AGGRESSIVE,3582812,0
-0.12067938,0.16444734,0.45986557,AGGRESSIVE,3582812,0
0.16768193,1.2503281,-0.84996414,AGGRESSIVE,3582813,0
0.16471934,0.4355929,-1.7092934,AGGRESSIVE,3582813,0
-1.2583938,0.1321933,-0.48607063,AGGRESSIVE,3582814,0
0.27982092,1.7911552,1.7168446,AGGRESSIVE,3582814,0
0.1980567,-1.0433539,0.7882414,AGGRESSIVE,3582815,0
0.16671729,0.0036329478,0.09576416,AGGRESSIVE,3582816,0
-0.22091222,-0.35001624,0.46505642,AGGRESSIVE,3582816,0
-0.8199918,-0.3138105,-0.67278767,AGGRESSIVE,3582817,0
-0.6134838,-0.65479505,0.36686325,AGGRESSIVE,3582817,0
0.90511584,-0.3209205,-0.9315481,AGGRESSIVE,3582818,0
0.06362772,-0.9601119,-0.43934917,AGGRESSIVE,3582818,0
