AccX,AccY,AccZ,Class,Timestamp,brake
-1.5977849,1.3793913,1.0430603,SLOW,3583253,1
-2.0303946,-0.07327825,0.24894714,SLOW,3583253,1
-0.51142484,-0.77665615,0.4733591,SLOW,3583254,1
0.11510855,1.2131205,0.96688557,SLOW,3583254,0
2.1385262,0.11708738,-0.8317833,SLOW,3583255,0
0.3626731,-0.087537944,-0.048531532,SLOW,3583255,0
1.631278,0.07806389,0.07370186,SLOW,3583256,0
0.49063742,-0.14493543,-0.4580679,SLOW,3583256,0
0.98119056,-0.00063712895,-0.049800873,SLOW,3583257,0
1.3605747,-0.5902019,-0.4796734,SLOW,3583257,0
-0.085428834,-1.3708645,-1.3479443,SLOW,3583258,0
-0.5977566,-1.363667,-0.47368145,SLOW,3583259,0
-0.9873128,-0.28560412,-0.1491394,SLOW,3583505,0
0.6282909,1.3217309,-0.27043056,SLOW,3583506,0
-0.23037934,0.42466986,1.5649767,SLOW,3583506,0
-0.90543556,-0.5026738,0.33032417,SLOW,3583507,0
-0.26980913,-0.22415298,-0.1717081,SLOW,3583507,0
-1.0336552,-0.13964534,0.36145687,SLOW,3583508,0
0.30923808,0.8856206,1.095418,SLOW,3583509,0
0.9894295,0.3864184,-1.0600605,SLOW,3583509,0
-0.31247652,0.8615445,0.40196228,SLOW,3583510,0
1.1271937,0.5523956,-0.10042763,SLOW,3583510,0
0.072147846,0.7949282,0.19094753,SLOW,3583511,0
2.3738081,0.083129615,0.3198681,SLOW,3583511,0
0.009813309,-0.46271935,-0.21596146,SLOW,3583512,0
0.6124369,0.7370909,0.33781052,SLOW,3583512,0
-0.4660753,0.8852278,0.9935074,SLOW,3583513,0
-0.6215079,-1.1806,-1.7120166,SLOW,3583513,0
0.40875602,-0.5266468,-0.7725649,SLOW,3583514,0
-0.36012232,-0.58296007,-1.4879265,SLOW,3583514,0
0.9936614,-0.8054261,-0.40365887,SLOW,3583515,0
-0.33238757,-0.949149,-1.0458269,SLOW,3583516,0
1.1682444,0.27459347,-1.3798962,SLOW,3583516,0
0.2878461,0.5435508,-0.33778858,SLOW,3583517,0
0.6019896,-0.65776825,-2.0495896,SLOW,3583517,0
0.64485824,0.20670694,-0.49161434,SLOW,3583518,0
-0.12084031,0.48724443,1.6107874,SLOW,3583518,0
0.20636284,-0.043517977,-0.14433861,SLOW,3583519,0
-2.251991,-0.8339657,0.8341017,SLOW,3583519,1
-0.9312624,-0.092660695,-0.18906498,SLOW,3583520,1
0.30429292,-0.852303,-0.6569891,SLOW,3583520,0
-0.3144616,1.8083587,2.6865788,SLOW,3583521,0
-0.14737844,0.0716809,-1.0752649,SLOW,3583521,0
0.78604865,0.861578,1.1497183,SLOW,3583522,0
-1.843416,0.042595267,0.339406,SLOW,3583523,0
0.36266255,-0.34561568,-1.2172213,SLOW,3583523,0
0.12725401,0.5076096,0.039785385,SLOW,3583524,0
-0.041971326,-0.8839021,-0.20714474,SLOW,3583524,0
-1.2358568,0.84286743,-0.60872936,SLOW,3583525,0
-0.17884326,0.8103739,1.6163921,SLOW,3583525,0
-0.7891491,-0.87130076,-0.08777332,SLOW,3583526,0
-0.20232117,-0.55745494,-1.6002436,SLOW,3583526,0
1.1392571,1.6537412,1.6345959,SLOW,3583527,0
1.168727,1.4904318,1.3441114,SLOW,3583527,0
0.44562876,0.84661055,0.029677391,SLOW,3583528,0
0.864256,1.4066133,0.4457035,SLOW,3583529,0
-0.27839994,-0.76088434,0.64631176,SLOW,3583529,0
0.5356904,0.37780333,0.6406698,SLOW,3583530,0
0.57131886,-1.6140176,-2.8857002,SLOW,3583530,0
-1.0158219,-2.0697494,-3.2556634,SLOW,3583531,0
