AccX,AccY,AccZ,Class,Timestamp,brake
2.0136995,0.54507196,-0.8096447,NORMAL,3581985,0
1.0519447,-0.15959644,-0.04487419,NORMAL,3581986,0
-0.40830684,0.38051003,0.9647474,NORMAL,3581986,0
1.2436733,-0.35952988,0.5658617,NORMAL,3581987,0
1.505762,-0.2035577,-1.0935163,NORMAL,3581988,0
1.0619525,0.005475968,-0.8173933,NORMAL,3581988,0
0.51174486,-0.90884984,0.15187073,NORMAL,3581989,0
1.7384689,1.3155266,-0.30425358,NORMAL,3581989,0
-0.09929919,0.29797715,-0.5035467,NORMAL,3581990,0
1.9839971,1.205527,1.1677351,NORMAL,3581990,0
1.9405804,-2.1030433,0.547719,NORMAL,3581991,0
0.7891383,-0.64093125,-0.3833294,NORMAL,3581991,0
1.0810113,-0.40784103,0.61438847,NORMAL,3581992,0
-0.12201643,-1.9112821,-0.6814165,NORMAL,3581992,0
-0.6472831,-1.3982311,-0.5331373,NORMAL,3581993,0
-0.5857099,-1.6328287,0.092811584,NORMAL,3581994,0
-0.5347477,-0.04429859,-0.19120693,NORMAL,3581994,0
0.7335012,1.1490476,0.5113716,NORMAL,3581995,0
0.3121524,0.71033704,-0.7624264,NORMAL,3581995,0
0.5666568,2.3416188,1.5069828,NORMAL,3581996,0
-0.6274482,0.19800434,0.8199158,NORMAL,3581996,0
0.40572643,1.6957283,-0.87206745,NORMAL,3581997,0
-0.16157699,0.3820323,-0.26260662,NORMAL,3581997,0
-0.1201148,1.3009232,-0.08199215,NORMAL,3581998,0
-1.0512913,0.5723382,-0.08485794,NORMAL,3581998,0
0.23967695,0.2552844,-2.34524,NORMAL,3581999,0
-0.8772129,-0.0959194,-0.33966827,NORMAL,3581999,0
-0.7303902,0.6445043,0.21889114,NORMAL,3582000,0
-0.2617097,0.88043594,-0.5672054,NORMAL,3582001,0
-0.5680224,0.43675834,0.7887192,NORMAL,3582001,0
-0.4389205,1.0478426,-0.13157749,NORMAL,3582002,0
-1.4025836,-0.120562255,-0.05661106,NORMAL,3582002,0
-0.6899687,-0.7805097,0.808527,NORMAL,3582003,0
0.074970484,0.4689448,-1.2825317,NORMAL,3582003,0
0.6682217,0.3344247,0.16899967,NORMAL,3582004,0
0.26713026,-0.11490896,0.62590027,NORMAL,3582004,0
-0.24455321,1.0023086,-0.05278206,NORMAL,3582005,0
-1.2424328,0.15371498,-0.20565033,NORMAL,3582005,0
0.06470144,-0.1331925,-0.40623283,NORMAL,3582006,0
-1.3918254,1.0933129,0.7494955,NORMAL,3582006,0
-0.19991648,0.20212922,0.044683456,NORMAL,3582007,0
-1.8096787,-1.4094648,-0.33883476,NORMAL,3582008,0
0.2573502,0.6867457,-1.031743,NORMAL,3582008,0
0.6500881,0.3196152,0.86803246,NORMAL,3582009,0
0.5868373,-0.1069407,0.82673454,NORMAL,3582009,0
0.45173407,0.40016013,0.20748901,NORMAL,3582010,0
0.42225385,0.09699651,-0.45035076,NORMAL,3582010,0
-1.4236269,1.3405201,0.5310621,NORMAL,3582011,0
0.083128214,-0.3606336,-0.83594036,NORMAL,3582011,0
0.46420074,-0.13835078,-0.5917263,NORMAL,3582012,0
0.15442705,-0.11684701,0.20349026,NORMAL,3582012,0
1.1042683,-0.26806283,-0.0051994324,NORMAL,3582013,0
0.7303755,-0.16196689,-0.120209694,NORMAL,3582013,0
-1.1225946,-0.2505605,3.2046804,NORMAL,3582014,0
-0.9048624,0.32294068,0.58187294,NORMAL,3582015,0
0.10470843,1.0605251,-0.6725807,NORMAL,3582015,0
-1.1202767,-0.21340388,-0.2765131,NORMAL,3582016,0
-0.09445393,0.32861355,0.23159695,NORMAL,3582016,0
0.1194942,0.42191732,-2.941308,NORMAL,3582017,0
0.6549158,-1.3212717,1.4578304,NORMAL,3582017,0
