AccX,AccY,AccZ,Class,Timestamp,brake
0.62814736,0.41262424,-0.8723793,NORMAL,3582018,0
-1.3559704,-0.49677557,-0.05106449,NORMAL,3582018,0
-0.4965049,-1.188516,0.7320461,NORMAL,3582019,0
0.43291163,0.30135986,-0.7893591,NORMAL,3582019,0
-0.10511792,1.4142807,-0.16216755,NORMAL,3582020,0
-0.8588588,-1.1355108,1.3569937,NORMAL,3582021,0
-0.27617753,0.17150798,-1.5976753,NORMAL,3582021,0
0.08783007,1.1496153,0.27871227,NORMAL,3582022,0
-0.4551549,-0.6998178,-0.32614422,NORMAL,3582022,0
0.38235486,1.0229706,0.11377239,NORMAL,3582023,0
0.72677374,1.2622215,1.5543547,NORMAL,3582023,0
-0.07755399,0.72378516,0.8091717,NORMAL,3582024,0
-1.527012,-0.93309855,-0.9632015,NORMAL,3582024,0
-0.48635638,-0.5146767,-1.2740908,NORMAL,3582025,0
-0.2045176,-0.64454436,0.71335506,NORMAL,3582025,0
-0.5347866,-0.16872129,-0.6818819,NORMAL,3582026,0
-0.33960938,0.5172755,2.2816706,NORMAL,3582026,0
-0.9550553,-0.5986079,-1.9445143,NORMAL,3582027,0
0.17454004,1.7030935,2.532301,NORMAL,3582028,0
-0.5997513,-0.47478628,-0.670413,NORMAL,3582028,0
-0.27337277,-0.21228379,0.95430946,NORMAL,3582029,0
0.5802932,-0.62733674,1.7544193,NORMAL,3582029,0
2.250085,-0.014035612,-1.3901253,NORMAL,3582030,0
-0.25195587,0.81330407,2.6939526,NORMAL,3582030,0
0.35046136,-0.1214817,1.9397297,NORMAL,3582031,0
-0.60097635,-0.24566996,-1.6826358,NORMAL,3582031,0
3.7569857,3.6508338,2.1107512,NORMAL,3582032,0
-1.9500135,0.64677984,4.57467,NORMAL,3582032,0
-0.13473308,-0.044433787,-1.0820408,NORMAL,3582033,0
1.2748727,-0.6735805,3.3466845,NORMAL,3582033,0
-0.015871167,-0.021241963,-0.91573524,NORMAL,3582034,0
2.397728,-0.9538002,-0.21767521,NORMAL,3582035,0
-0.63585943,-0.05680068,-0.010400772,NORMAL,3582035,0
-1.6916411,-0.2929803,0.77341175,NORMAL,3582036,0
-0.6686629,-0.11819438,-0.5207367,NORMAL,3582036,0
-1.1386957,-0.70819426,0.5322027,NORMAL,3582037,0
0.20467746,0.16735001,-0.8474455,NORMAL,3582037,0
-0.52797174,0.7152174,0.5639219,NORMAL,3582038,0
0.5231525,-0.056920998,-0.8040571,NORMAL,3582038,0
2.0298438,0.13727665,1.8362999,NORMAL,3582039,0
0.3604846,0.25094134,-0.76760674,NORMAL,3582039,0
0.4212333,-0.20362586,1.0210276,NORMAL,3582040,0
0.98566043,-0.15524942,1.4816561,NORMAL,3582040,0
0.8245877,-1.3209407,-0.98717594,NORMAL,3582041,0
0.6011497,-0.17144257,-0.17508602,NORMAL,3582042,0
-0.5805845,0.12290129,-0.5157614,NORMAL,3582042,0
-0.52027,-0.90540755,-0.13289642,NORMAL,3582043,0
-0.81705,-0.7115064,-1.5054827,NORMAL,3582043,0
-0.21791315,1.4503697,-1.1229887,NORMAL,3582044,0
0.11096501,1.0730537,-1.1119652,NORMAL,3582044,0
1.8904705,2.2008758,0.9779663,NORMAL,3582045,0
0.7855171,0.4843234,-0.9157553,NORMAL,3582045,0
1.6378938,0.58769655,0.65379524,NORMAL,3582046,0
0.8674443,1.1268228,0.16815472,NORMAL,3582046,0
0.6279856,-0.14139277,-1.0604191,NORMAL,3582047,0
1.5100772,-0.4309082,-0.22056484,NORMAL,3582048,0
0.8548124,1.3337214,0.60793304,NORMAL,3582048,0
0.69153607,0.4618103,-0.8381233,NORMAL,3582049,0
1.3582189,0.71492285,-0.48682976,NORMAL,3582049,0
-1.1532524,-0.8735768,-1.1924944,NORMAL,3582050,0
