AccX,AccY,AccZ,Class,Timestamp,brake
-0.6445849,-1.5396824,0.26447392,NORMAL,3581856,0
0.15953517,0.8927524,-0.0153951645,NORMAL,3581856,0
-0.6067896,-1.0438714,-0.13830662,NORMAL,3581857,0
0.9169929,0.2217115,1.8149834,NORMAL,3581857,0
-1.0590467,-0.473343,-1.4633007,NORMAL,3581858,0
-1.812112,-0.2548878,0.0028066635,NORMAL,3581859,0
1.248816,0.29745567,0.5898886,NORMAL,3581859,0
-0.3742988,-0.6746378,0.48809624,NORMAL,3581860,0
0.553911,-0.741951,1.1762972,NORMAL,3581860,0
0.5328977,-0.2614141,0.32474327,NORMAL,3581861,0
0.29346967,-0.20122498,0.8656435,NORMAL,3581861,0
0.4756055,0.20784998,0.1974783,NORMAL,3581862,0
-0.55453396,-1.1656574,-0.37894535,NORMAL,3581862,0
-0.30489838,0.66455215,-0.3825922,NORMAL,3581863,0
1.357024,0.43891844,0.47256565,NORMAL,3581863,0
0.68505335,-0.11592513,0.93699646,NORMAL,3581864,0
0.9393575,0.58438843,-2.5390754,NORMAL,3581864,0
0.49633026,-0.20601207,-0.19851017,NORMAL,3581865,0
0.4516058,0.48230696,0.93057156,NORMAL,3581866,0
-0.55122447,-0.031457007,0.17109776,NORMAL,3581866,0
0.5645814,0.7544526,-0.3775301,NORMAL,3581867,0
-0.051659822,-0.3356244,0.16028595,NORMAL,3581867,0
-1.2352134,0.73405963,1.6423712,NORMAL,3581868,0
-1.1974677,0.4710648,-0.52852345,NORMAL,3581868,0
-0.724089,-0.20638904,-0.27505112,NORMAL,3581869,0
-0.0842123,-0.04938993,-0.75701046,NORMAL,3581869,0
-0.6744447,-0.14493942,-0.5986061,NORMAL,3581870,0
-0.24925208,0.68087757,0.2373066,NORMAL,3581870,0
0.8665528,-0.5200677,0.37991714,NORMAL,3581871,0
-0.64320636,-0.7320719,-0.34587574,NORMAL,3581871,0
-0.054543734,0.34203526,-0.19346905,NORMAL,3581872,0
-0.036085844,-0.14548215,-0.72836685,NORMAL,3581873,0
0.07778096,0.14447641,-0.34722233,NORMAL,3581873,0
0.20443249,-0.44846198,0.203331,NORMAL,3581874,0
-0.07967162,-0.37240738,-1.0803804,NORMAL,3581874,0
-0.22931421,-0.30673414,0.6236601,NORMAL,3581875,0
1.6583589,0.19247384,0.13265324,NORMAL,3581875,0
-0.31036663,-0.068618774,0.14906693,NORMAL,3581876,0
1.0894045,-0.59240294,-0.10585022,NORMAL,3581876,0
-0.27613664,-0.55357474,0.26590538,NORMAL,3581877,0
-0.04516661,0.3165699,0.40484715,NORMAL,3581877,0
0.9869417,-0.010799736,0.3902979,NORMAL,3581878,0
1.3781554,0.13707142,-0.9077711,NORMAL,3581878,0
1.4017797,-0.33752275,0.7875662,NORMAL,3581879,0
0.18587554,-0.12571466,-0.97267056,NORMAL,3581880,0
0.29148555,-0.14027604,-1.0908899,NORMAL,3581880,0
-1.325272,-0.4560146,-0.5985441,NORMAL,3581881,0
-0.058419347,-0.40330976,-0.83809376,NORMAL,3581881,0
0.93248606,-1.4718277,0.90140915,NORMAL,3581882,0
-0.72283673,-0.9780785,0.2658205,NORMAL,3581882,0
0.016498089,0.22365475,0.90029716,NORMAL,3581883,0
-0.07739544,0.3881409,-0.16351032,NORMAL,3581883,0
0.41235733,-0.24281716,-0.17994976,NORMAL,3581884,0
0.29378867,0.63656104,-0.09507275,NORMAL,3581884,0
0.27055347,0.47573295,-0.26959038,NORMAL,3581885,0
-0.37055242,-1.0120957,0.2917719,NORMAL,3581886,0
-0.23811936,0.62763774,1.4502983,NORMAL,3581886,0
0.22274315,-0.8273667,0.25972557,NORMAL,3581887,0
-0.4009421,0.35713506,0.11826229,NORMAL,3581887,0
0.44990587,0.5561523,-0.31680202,NORMAL,3581888,0
