AccX,AccY,AccZ,Class,Timestamp,brake
0.1085875,-0.61211646,0.68674374,NORMAL,3581791,0
0.5604267,-1.2272356,0.7907982,NORMAL,3581792,0
-1.0127023,-0.47161663,0.9393177,NORMAL,3581792,0
-0.043752074,-0.022560418,0.20010757,NORMAL,3581793,0
-1.0208405,-0.3660627,0.53029346,NORMAL,3581793,0
0.16000628,0.6783377,-0.42264652,NORMAL,3581794,0
-0.018686056,0.32031968,0.02953434,NORMAL,3581794,0
0.12359834,0.401303,0.4672966,NORMAL,3581795,0
0.20924437,-0.30007708,-0.57656384,NORMAL,3581795,0
0.432822,0.4263416,0.56699276,NORMAL,3581796,0
-0.22298932,-0.22828063,-0.0022096634,NORMAL,3581796,0
-0.674546,-0.60552186,0.08272934,NORMAL,3581797,0
0.98295546,0.31632358,-0.82794,NORMAL,3581797,0
0.22900033,0.7271996,0.0050373077,NORMAL,3581798,0
-1.3153015,-0.94403034,-0.1368227,NORMAL,3581799,0
-0.39384413,0.2904355,-0.575861,NORMAL,3581799,0
-0.42821503,-0.40514922,0.2510023,NORMAL,3581800,0
0.5629624,1.0313348,-0.34222698,NORMAL,3581800,0
-0.31487644,-0.22420272,0.998991,NORMAL,3581801,0
0.076051235,-1.4867306,0.31640148,NORMAL,3581801,0
-0.33166504,0.31223968,0.33514595,NORMAL,3581802,0
0.11739051,-0.10811675,-0.6554594,NORMAL,3581802,0
0.40198743,-0.48926717,-0.2900381,NORMAL,3581803,0
0.10857141,-0.013837535,-0.86671925,NORMAL,3581803,0
0.20090139,-0.10922946,0.8869524,NORMAL,3581804,0
0.789613,0.71779513,0.39988708,NORMAL,3581805,0
-0.83912826,0.30953357,0.07212162,NORMAL,3581805,0
-0.085796356,-0.73327476,0.6632147,NORMAL,3581806,0
-0.5636817,-1.1530536,1.352561,NORMAL,3581806,0
-0.674605,-0.3781833,1.0126963,NORMAL,3581807,0
0.7489872,0.7775284,-0.6096058,NORMAL,3581807,0
-1.0490661,-0.8120072,-2.0410929,NORMAL,3581808,0
-0.6071586,2.0007071,-0.43111706,NORMAL,3581808,0
-0.6309858,-0.10072729,0.76296234,NORMAL,3581809,0
-0.23300362,-1.0755312,-0.061592102,NORMAL,3581809,0
-0.038929224,-0.6663336,0.30048084,NORMAL,3581810,0
0.14722526,0.69420284,-0.41985035,NORMAL,3581810,0
1.3341161,-0.1415723,1.4307556,NORMAL,3581811,0
0.5215554,0.13940394,0.5122814,NORMAL,3581812,0
-0.34894216,-0.3824355,-0.023623466,NORMAL,3581812,0
0.15516281,0.4742343,0.49960518,NORMAL,3581813,0
-0.4419073,0.3562544,0.006219864,NORMAL,3581813,0
0.04711628,-0.22506526,-0.002866745,NORMAL,3581814,0
-1.1028864,-0.11111134,0.38119888,NORMAL,3581814,0
-0.11131048,0.3503166,-0.39005184,NORMAL,3581815,0
0.2196424,0.54232514,0.010965347,NORMAL,3581815,0
-0.27052987,-0.44542545,0.22694683,NORMAL,3581816,0
-0.63782656,-0.27594423,-1.2295704,NORMAL,3581816,0
-0.094656944,-0.49301025,0.52759457,NORMAL,3581817,0
-0.3019601,-0.038541183,0.41344738,NORMAL,3581817,0
-0.02288413,0.58363044,-0.74947166,NORMAL,3581818,0
0.23692632,-0.276865,0.2469225,NORMAL,3581819,0
0.3152976,0.75909173,-0.5795202,NORMAL,3581819,0
-1.2082562,-0.8495319,1.6577206,NORMAL,3581820,0
-0.1164335,-0.51976025,0.83994484,NORMAL,3581820,0
0.36252725,-0.053932965,0.6794853,NORMAL,3581821,0
-0.20261514,0.7779546,-0.50951004,NORMAL,3581821,0
0.009883523,0.14232087,-1.1624146,NORMAL,3581822,0
0.3690449,-0.48629326,-0.5755768,NORMAL,3581822,0
-0.18870294,0.5075295,-0.8615732,NORMAL,3581823,0
